web-scraper-order,web-scraper-start-url,linkxml,linkxml-href
"1707253424-51","https://clarino.uib.no/menota/catalogue","Download","https://clarino.uib.no/menota/texts/NRA-norrfragm-51.xml"
"1707253424-52","https://clarino.uib.no/menota/catalogue","Download","https://clarino.uib.no/menota/texts/NRA-norrfragm-52.xml"
"1707253424-53","https://clarino.uib.no/menota/catalogue","Download","https://clarino.uib.no/menota/texts/NRA-norrfragm-53.xml"
"1707253424-54","https://clarino.uib.no/menota/catalogue","Download","https://clarino.uib.no/menota/texts/NRA-norrfragm-54.xml"
"1707253424-55","https://clarino.uib.no/menota/catalogue","Download","https://clarino.uib.no/menota/texts/NRA-norrfragm-55-A.xml"
"1707253424-56","https://clarino.uib.no/menota/catalogue","Download","https://clarino.uib.no/menota/texts/NRA-norrfragm-55-B.xml"
"1707253424-57","https://clarino.uib.no/menota/catalogue","Download","https://clarino.uib.no/menota/texts/NRA-norrfragm-56.xml"
"1707253424-58","https://clarino.uib.no/menota/catalogue","Download","https://clarino.uib.no/menota/texts/NRA-norrfragm-57.xml"
"1707253424-59","https://clarino.uib.no/menota/catalogue","Download","https://clarino.uib.no/menota/texts/NRA-norrfragm-58-A.xml"
"1707253424-60","https://clarino.uib.no/menota/catalogue","Download","https://clarino.uib.no/menota/texts/NRA-norrfragm-58-B.xml"
"1707253424-61","https://clarino.uib.no/menota/catalogue","Download","https://clarino.uib.no/menota/texts/NRA-norrfragm-58-C.xml"
"1707253424-62","https://clarino.uib.no/menota/catalogue","Download","https://clarino.uib.no/menota/texts/NRA-norrfragm-59.xml"
"1707253424-63","https://clarino.uib.no/menota/catalogue","Download","https://clarino.uib.no/menota/texts/NRA-norrfragm-60-A.xml"
"1707253424-64","https://clarino.uib.no/menota/catalogue","Download","https://clarino.uib.no/menota/texts/NRA-norrfragm-60-B.xml"
"1707253424-65","https://clarino.uib.no/menota/catalogue","Download","https://clarino.uib.no/menota/texts/NRA-norrfragm-60-C.xml"
"1707253424-66","https://clarino.uib.no/menota/catalogue","Download","https://clarino.uib.no/menota/texts/NRA-norrfragm-61.xml"
"1707253424-67","https://clarino.uib.no/menota/catalogue","Download","https://clarino.uib.no/menota/texts/NRA-norrfragm-62.xml"
"1707253424-68","https://clarino.uib.no/menota/catalogue","Download","https://clarino.uib.no/menota/texts/NRA-norrfragm-63.xml"
"1707253424-69","https://clarino.uib.no/menota/catalogue","Download","https://clarino.uib.no/menota/texts/NRA-norrfragm-64.xml"
"1707253424-70","https://clarino.uib.no/menota/catalogue","Download","https://clarino.uib.no/menota/texts/NRA-norrfragm-65.xml"
"1707253424-71","https://clarino.uib.no/menota/catalogue","Download","https://clarino.uib.no/menota/texts/NRA-norrfragm-66.xml"
"1707253424-72","https://clarino.uib.no/menota/catalogue","Download","https://clarino.uib.no/menota/texts/NRA-norrfragm-67-JonsSaga.xml"
"1707253424-73","https://clarino.uib.no/menota/catalogue","Download","https://clarino.uib.no/menota/texts/NRA-norrfragm-67-Stephanus.xml"
"1707253424-74","https://clarino.uib.no/menota/catalogue","Download","https://clarino.uib.no/menota/texts/NRA-norrfragm-67-Thomas.xml"
"1707253424-75","https://clarino.uib.no/menota/catalogue","Download","https://clarino.uib.no/menota/texts/NRA-norrfragm-68.xml"
"1707253424-76","https://clarino.uib.no/menota/catalogue","Download","https://clarino.uib.no/menota/texts/NRA-norrfragm-69.xml"
"1707253424-77","https://clarino.uib.no/menota/catalogue","Download","https://clarino.uib.no/menota/texts/NRA-norrfragm-70.xml"
"1707253424-78","https://clarino.uib.no/menota/catalogue","Download","https://clarino.uib.no/menota/texts/NRA-norrfragm-71.xml"
"1707253424-79","https://clarino.uib.no/menota/catalogue","Download","https://clarino.uib.no/menota/texts/NRA-norrfragm-72-76.xml"
"1707253424-80","https://clarino.uib.no/menota/catalogue","Download","https://clarino.uib.no/menota/texts/NRA-norrfragm-75.xml"
"1707253424-81","https://clarino.uib.no/menota/catalogue","Download","https://clarino.uib.no/menota/texts/NRA-norrfragm-77.xml"
"1707253424-82","https://clarino.uib.no/menota/catalogue","Download","https://clarino.uib.no/menota/texts/NRA-norrfragm-78.xml"
"1707253424-83","https://clarino.uib.no/menota/catalogue","Download","https://clarino.uib.no/menota/texts/NRA-norrfragm-79.xml"
"1707253424-84","https://clarino.uib.no/menota/catalogue","Download","https://clarino.uib.no/menota/texts/NRA-norrfragm-80.xml"
"1707253424-85","https://clarino.uib.no/menota/catalogue","Download","https://clarino.uib.no/menota/texts/NRA-norrfragm-81-A.xml"
"1707253424-86","https://clarino.uib.no/menota/catalogue","Download","https://clarino.uib.no/menota/texts/NRA-norrfragm-81-B.xml"
"1707253424-87","https://clarino.uib.no/menota/catalogue","Download","https://clarino.uib.no/menota/texts/SKB-A-120.xml"
"1707253424-88","https://clarino.uib.no/menota/catalogue","Download","https://clarino.uib.no/menota/texts/Wolf-Aug-9-10-4to.xml"
